Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
"Dubey, Kata and Bhatt Pvt Ltd",Metals and Mining,"Kerala, India",$10M to $50M,Active,2019,IPO,Mining,2,"Nitesh Andra, William Mahajan",11-50,4,M&A,$100K to $500K,Medium,Low,1381469,1611.2911842632307,3206.5053834497953,1,1578
"Chand, Sani and Sami Technologies",Services,"Jharkhand, India",$100M to $500M,Active,2018,—,Services,1,Fitan Mitra,101-250,0,—,$100K to $500K,—,Low,1110736,381.2372586330096,7096.127874120194,3,2105
Virk and Sons Solutions,Financial Services,"Odisha, India",Less than $1M,Active,2024,—,Financial Services,3,"Ekapad Mistry, Adweta Vasa, Harrison Chada",11-50,0,—,—,Growing,Low,203903,1016.6843074252954,3043.4765417172266,10,1798
"Issac, Kurian and Batra Innovations",Oil and Gas,"Nagaland, India",$1M to $10M,Closed,2017,IPO,Energy,3,"Yatin Garde, Avni Golla, Ranbir Brahmbhatt",11-50,3,—,$100K to $500K,—,Low,3920,-85.07845338178657,2773.612677216948,3,2016
"Muni, Tak and Kamdar Solutions",Renewable Energy,"Karnataka, India",Less than $1M,Active,2017,Series C,Energy,2,"Jackson Dara, Mekhala Kade",251-500,5,M&A,$50M to $100M,Growing,Medium,1404065,606.0893098310473,5659.457757999683,4,63
"Kamdar, Sandal and Mittal Labs",Paper & Packaging,"Gujarat, India",$10B+,Active,2022,IPO,Packaging,5,"Falguni Hayer, Lila Ramakrishnan, Arjun Master, Vasudha Chokshi, Vamakshi Pathak",11-50,1,M&A,$500K to $1M,Growing,High,662620,500.14197197534804,4417.186719023732,3,1264
"Radhakrishnan, Gaba and Parmer Technologies",Science and Technology,"Jharkhand, India",$50M to $100M,Active,2020,Series C,Technology,2,"Girindra Swamy, Saksham Bumb",51-100,1,—,$100K to $500K,—,High,1633575,202.28977982443553,713.0670461673661,1,1684
Pathak Ltd Innovations,Roads,"Manipur, India",Less than $1M,Closed,2019,Series B,Infrastructure,4,"Sachi Venkataraman, Aarna Kamdar, Jairaj Dutt, Harinakshi Yohannan",11-50,3,M&A,$100K to $500K,—,—,41677,-58.03505434299458,4016.1635337564076,10,475
Narang Ltd Solutions,Electric Vehicle,"Tamil Nadu, India",$100M to $500M,Active,2019,Series C,Automotive,3,"Vansha Karan, Tamanna Chowdhury, Yamini Bandi",51-100,3,M&A,$500K to $1M,Growing,High,534065,680.3331243056867,1403.5048669245052,4,427
"Sarma, Lalla and Badami Technologies",Railways,"Jharkhand, India",$10M to $50M,Active,2023,Series C,Transportation,5,"Vedika Khalsa, Owen Verma, Unnati Jani, Pavani Behl, Fariq Mohanty",101-250,5,—,$500K to $1M,Growing,Low,640042,249.26131796228134,1412.29878579465,5,608
Karan-Batra Technologies,Agriculture and Allied Industries,"Assam, India",$10M to $50M,Active,2020,Series B,Agriculture,3,"Abha Goda, Aadi Mahajan, Upasna Mani",51-100,3,Early Stage Venture,$5M to $10M,Medium,High,1262311,161.81588736173944,631.5873348556476,4,1092
Rai LLC Innovations,Ayush,"Manipur, India",$1B to $10B,Active,2020,Seed,Healthcare,4,"Triya Jain, Anamika Kapoor, Amruta Khosla, Chatura Sekhon",501-1000,2,Seed,—,Growing,High,406109,1751.8832635347956,3201.4446154299912,2,2170
Dube-Choudhary Innovations,Auto Components,"West Bengal, India",$10B+,Active,2022,IPO,Automotive,0,—,11-50,6,—,$100K to $500K,Growing,High,321145,950.5291035083337,5176.855633993839,5,2021
"Gaba, Choudhury and Konda Solutions",Healthcare,"Telangana, India",Less than $1M,Closed,2024,Seed,Healthcare,2,"Azad Parsa, Abhiram Ganguly",1-10,3,—,$0,Medium,Medium,36416,-75.61116457628874,5563.928235774597,8,314
Deol-Sawhney Technologies,Power,"Meghalaya, India",Less than $1M,Active,2024,Seed,Energy,2,"Anika Sama, Fariq Saha",51-100,2,—,—,Medium,Low,1912107,1821.7541653473208,9812.127307472414,6,857
Minhas-Goswami Innovations,Gems and Jewellery,"Assam, India",$100M to $500M,Active,2024,IPO,Luxury Goods,5,"Saumya Minhas, Gabriel Goswami, Tara Chaudhry, Nathan Choudhary, Azad Bhatia",1001-5000,6,—,$0,High,High,1441768,737.8831244385724,8526.317933978502,3,835
"Nori, Jhaveri and Narula Innovations",Banking,"Maharashtra, India",$1M to $10M,Active,2024,Series A,Financial Services,4,"Nandini Rao, Diya Dixit, Mugdha Soni, Damini Seshadri",101-250,4,Early Stage Venture,—,Medium,—,71345,315.36325288565314,6048.73169127785,8,716
"Iyer, Mistry and Naidu Pvt Ltd",Agriculture and Allied Industries,"Mizoram, India",$1M to $10M,Active,2020,Series A,Agriculture,2,"Nachiket Saran, Vedika Singhal",11-50,2,Growing,$100M to $500M,—,Low,1684268,1462.6568872786308,1511.0183558149693,9,2353
Jhaveri PLC Technologies,Consumer Durables,"Madhya Pradesh, India",$1B to $10B,Active,2024,Series B,Consumer Goods,0,—,501-1000,4,M&A,$1M to $5M,Growing,—,741911,66.24126561032006,5882.697922675664,8,2077
Singhal PLC Labs,Insurance,"Jammu and Kashmir, India",$10M to $50M,Active,2022,IPO,Financial Services,0,—,251-500,2,Early Stage Venture,$50M to $100M,—,Medium,691410,1157.6400252112714,4398.035712903756,6,2220
Atwal-Bhat Pvt Ltd,Electric Vehicle,"Uttarakhand, India",$10M to $50M,Closed,2022,—,Automotive,0,—,11-50,0,—,—,Growing,Low,11221,-71.44462101241469,2390.6176619137677,5,2153
"Panchal, Bera and Bhatia Innovations",Engineering and Capital Goods,"Gujarat, India",$1M to $10M,Active,2018,—,Engineering,0,—,51-100,5,Growing,$1M to $5M,—,—,1341724,385.4356525698251,1130.3728776763392,7,259
Master and Sons Innovations,Steel,"Andhra Pradesh, India",Less than $1M,Closed,2017,Series C,Manufacturing,2,"Daniel Maharaj, Reva Buch",11-50,1,—,$0,Growing,Low,770,-4.786893227648903,4454.018611987374,7,2107
Tella PLC Pvt Ltd,Tourism and Hospitality,"Andhra Pradesh, India",$10M to $50M,Active,2019,Series A,Hospitality,5,"Mohini Boase, Ishanvi Khatri, Faras Gokhale, Panini Sheth, Eiravati Bakshi",101-250,1,Growing,$100M to $500M,High,Medium,1794497,1649.7704018439085,5345.017344081349,2,1729
Mital-Kumer Technologies,Textiles,"Rajasthan, India",$1B to $10B,Active,2020,Seed,Textiles,5,"Zehaan Basu, Rudra Comar, Advaith Chokshi, Vyanjana Sinha, Dev Pradhan",251-500,6,Early Stage Venture,$5M to $10M,—,Low,300114,1149.017431338086,1653.939043051763,9,873
Kakar-Devan Innovations,Media and Entertainment,"Andhra Pradesh, India",$10M to $50M,Active,2018,Seed,Media,5,"Baljiwan Gera, Qushi Barman, Gaurika Prashad, Theodore Swaminathan, Guneet Gill",501-1000,3,—,$100K to $500K,—,Low,310734,566.0687402805144,5764.996461580787,1,615
De-Sami Solutions,Medical Devices,"Bihar, India",$1M to $10M,Closed,2020,—,Healthcare,5,"Mohammed Nanda, Kalpit Dave, Yashodhara Chada, Advika Ahuja, Akshay Bhavsar",11-50,2,Growing,$0,—,Low,22065,-68.73885501307485,466.5050823195912,7,590
Bora Inc Solutions,Telecommunications,"West Bengal, India",$50M to $100M,Active,2022,Series C,Telecommunications,4,"Wahab Dixit, Teerth Malhotra, Pahal Mander, Varenya Krishnan",251-500,6,—,$1M to $5M,—,High,234555,56.001033005205045,8414.525237188569,10,1509
Mann-Sule Labs,Manufacturing,"Madhya Pradesh, India",$50M to $100M,Active,2023,Series B,Manufacturing,0,—,101-250,4,M&A,$0,Growing,Low,673159,923.862183693155,1706.2444936383297,9,894
Bhattacharyya-Sha Solutions,Paper & Packaging,"West Bengal, India",$10B+,Active,2017,IPO,Packaging,0,—,1001-5000,6,Early Stage Venture,$500K to $1M,High,Low,668895,1008.729866637565,367.7292738629675,8,1967
Kakar Group Innovations,Insurance,"Bihar, India",$1M to $10M,Closed,2023,—,Financial Services,2,"Upma Dhar, Mitesh Gola",11-50,0,—,$0,Growing,Low,7465,-98.85562100935866,8018.5888281723355,8,1292
"Agrawal, Bhatnagar and Saini Innovations",Steel,"Maharashtra, India",Less than $1M,Active,2021,Series A,Manufacturing,4,"Anthony Dugar, Radhika Chaudry, Oni Zachariah, Warda Sampath",51-100,1,Early Stage Venture,$0,—,Low,663445,1858.0260526044517,7478.723236357852,2,1437
Bali LLC Pvt Ltd,Science and Technology,"Maharashtra, India",$100M to $500M,Active,2020,Series B,Technology,5,"Sanya Bali, Aarini Mistry, Leela Raghavan, Harsh Narang, Farhan Mutti",51-100,5,—,$1M to $5M,—,Low,892168,1651.2685505294469,1364.9789102079053,5,1832
Nazareth-Tailor Innovations,Textiles,"Goa, India",$100M to $500M,Active,2024,Seed,Textiles,0,—,11-50,7,Early Stage Venture,$50M to $100M,Medium,Medium,38446,632.2068229248193,3139.6896470203023,2,1879
"Palla, Narasimhan and Sinha Labs",Tourism and Hospitality,"Madhya Pradesh, India",$100M to $500M,Active,2023,—,Hospitality,0,—,251-500,3,Early Stage Venture,$1M to $5M,Medium,Low,1909840,1884.848179119493,4488.173994016042,6,2297
"Iyer, Butala and Dugar Pvt Ltd",Financial Services,"Karnataka, India",$1B to $10B,Active,2022,Series C,Financial Services,0,—,51-100,6,Seed,$100M to $500M,Medium,Low,985280,645.5120570655395,5450.66831414357,6,2320
"Viswanathan, Vohra and Rajagopal Solutions",Electric Vehicle,"Haryana, India",$1B to $10B,Active,2018,—,Automotive,4,"Ria Radhakrishnan, Urvashi Master, Yuvraj Tata, Deepa Dua",251-500,0,—,—,Growing,High,752384,165.06211036493653,3463.4071825370856,0,1387
"Uppal, Kalita and Mallick Labs",Paper & Packaging,"Meghalaya, India",$1M to $10M,Active,2019,IPO,Packaging,5,"Nimrat Bajaj, Fiyaz Dara, Dhruv Goel, Osha Venkataraman, Om Padmanabhan",1-10,7,Seed,$1M to $5M,Medium,Low,153547,1684.5015619551941,6606.349351679221,5,1881
"Shan, Sethi and Natt Labs",Textiles,"Arunachal Pradesh, India",Less than $1M,Active,2017,Seed,Textiles,3,"Saanvi Vohra, Yutika Nair, Ekanta Mohanty",101-250,6,M&A,$100M to $500M,—,Medium,588516,47.16959634894286,1657.7548394941498,6,1092
"Sheth, Batta and Pillai Labs",Chemicals,"Meghalaya, India",$50M to $100M,Active,2020,Series A,Chemicals,4,"Anya Ranganathan, Zayan Padmanabhan, Januja Banerjee, Idika Basak",101-250,4,Seed,$5M to $10M,Growing,—,372955,1240.7916792457834,2941.087190733158,3,2361
Shroff-Pathak Innovations,Banking,"Nagaland, India",$100M to $500M,Active,2020,—,Financial Services,3,"Gavin Ghosh, Hiral Aurora, Harini Agate",1-10,6,M&A,$5M to $10M,High,Low,1272698,816.4826280950898,8787.147404872498,8,240
"Bhakta, Bhatia and Toor Labs",Pharmaceuticals,"Uttarakhand, India",$1B to $10B,Active,2020,Series C,Pharmaceuticals,4,"Omkaar Talwar, Ayushman Kannan, Dalbir Datta, Raghav Swaminathan",11-50,5,—,$100M to $500M,Growing,Medium,1454583,1025.757880758324,5930.79152627967,2,2115
"Peri, Ramaswamy and Dey Innovations",Engineering and Capital Goods,"Arunachal Pradesh, India",$1M to $10M,Closed,2024,IPO,Engineering,1,Mahika Rattan,11-50,2,Growing,$0,Growing,Low,390,-44.08429964317837,1550.2827553556656,10,1324
Date-Raval Labs,Chemicals,"Bihar, India",$1M to $10M,Closed,2017,Series A,Chemicals,2,"Yatan Radhakrishnan, Ekantika Rajagopalan",1-10,1,Seed,$0,Medium,Low,4895,-3.3334387546621826,6526.347288383405,6,2469
Som-Din Labs,Medical Devices,"Telangana, India",$1M to $10M,Active,2021,Seed,Healthcare,2,"Anika Om, Yagnesh Swaminathan",251-500,6,—,$500K to $1M,High,—,334136,827.849524562775,9340.086602473542,5,1927
Rai-Hayre Solutions,Electronics System Design & Manufacturing,"Chhattisgarh, India",$10M to $50M,Active,2020,IPO,Electronics,1,Matthew Behl,501-1000,5,Early Stage Venture,—,High,—,612849,1542.938093572165,7514.825319027356,9,2155
"Kaul, Dada and Golla Innovations",Renewable Energy,"Nagaland, India",$1M to $10M,Closed,2021,Series B,Energy,4,"Mohini Sehgal, Tarak Thakur, Riya Dora, Ekaraj Patel",1-10,1,Seed,$100K to $500K,Medium,Medium,10257,38.19914576064829,6592.624206662418,8,1210
Warrior-Bhasin Technologies,Insurance,"Uttarakhand, India",$1M to $10M,Active,2021,Series B,Financial Services,5,"Azad Sane, Aashi Sridhar, Gaurav Baria, Wishi Nagar, Yoshita Bose",251-500,7,—,$10M to $50M,High,High,260377,1526.1017111875935,6090.052287110164,7,381
"Mallick, Chokshi and Lata Labs",Renewable Energy,"Tripura, India",$1M to $10M,Closed,2022,Series B,Energy,3,"Daksha Kant, Joshua Yadav, Mahika Bandi",11-50,3,M&A,$100K to $500K,—,Low,3660,-8.838490003638256,9971.578105426357,3,1773
"Chander, Sarkar and Pingle Technologies",Agriculture and Allied Industries,"Andhra Pradesh, India",$10M to $50M,Active,2021,Series A,Agriculture,2,"Ridhi Dhawan, Ekiya Koshy",51-100,5,Growing,$5M to $10M,Medium,Medium,1832074,7.552265203598708,6834.589811957525,1,2089
Korpal-Bassi Labs,MSME,"Mizoram, India",$1M to $10M,Closed,2021,Seed,Small Business,1,Dayamai Swaminathan,1-10,1,Seed,$0,High,Low,1370,-95.46030870902078,483.25053001704146,4,1935
Bhagat Ltd Labs,Electric Vehicle,"Goa, India",$10M to $50M,Active,2020,IPO,Automotive,0,—,251-500,7,Seed,$500K to $1M,High,Low,1565408,80.8257795906529,3454.487973255538,5,1313
Srivastava-Srinivas Innovations,Healthcare,"Odisha, India",Less than $1M,Active,2019,Seed,Healthcare,2,"Amara Mani, Anvi Bhargava",251-500,3,—,$500K to $1M,Medium,—,186510,282.1317891119172,9003.925619328387,10,1583
Dayal-Sarraf Innovations,Tourism and Hospitality,"Arunachal Pradesh, India",$10M to $50M,Closed,2022,Series A,Hospitality,5,"Udyati Sahota, Eesha Sanghvi, Vinaya Shanker, Devika Sabharwal, Frado Krish",51-100,2,M&A,$100K to $500K,—,Medium,48809,-88.98026299815476,2175.843899965762,1,873
Munshi LLC Labs,Ayush,"Andhra Pradesh, India",$50M to $100M,Active,2020,Series A,Healthcare,5,"Vasana Comar, Aahana Yogi, Nidra Loyal, Anjali Seth, Kashvi Narang",1001-5000,3,M&A,$500K to $1M,Medium,Low,18949,-27.567386237624874,3437.9447221446007,1,366
Nayak Ltd Innovations,Ports,"Uttarakhand, India",$1M to $10M,Closed,2017,IPO,Transportation,1,Lila Mani,1-10,3,M&A,$0,Growing,Low,3400,-89.71595153684386,4553.768828819296,3,69
Pai PLC Labs,Financial Services,"Andhra Pradesh, India",$50M to $100M,Active,2022,Series C,Financial Services,3,"Bishakha Nazareth, Chaitanya Ben, Robert Mittal",251-500,6,Seed,$500K to $1M,Medium,Low,388271,1877.6598888726655,5954.493673546494,10,770
Issac-Singhal Labs,Tourism and Hospitality,"Jammu and Kashmir, India",$1B to $10B,Active,2020,—,Hospitality,5,"Ekiya Som, Adya Tella, Forum Comar, Ridhi Saha, Gaurang Halder",11-50,4,—,$50M to $100M,Medium,High,1739828,726.9155899314478,2290.3622572175545,2,921
"Kade, Dara and Nagy Innovations",Engineering and Capital Goods,"Arunachal Pradesh, India",$10M to $50M,Active,2024,—,Engineering,4,"Owen Khatri, Ijaya Sami, Bhavya Ramesh, Mason Batra",1-10,2,Seed,$500K to $1M,Growing,High,374208,826.7769376952825,8232.000396030262,4,1679
Bhavsar-Bassi Labs,Paper & Packaging,"Rajasthan, India",$10M to $50M,Active,2019,Seed,Packaging,1,Ekanta Khurana,51-100,4,Early Stage Venture,$0,High,Low,1415638,79.84932418505412,7478.120062772333,2,2192
"Rai, Narang and Ahuja Labs",Gems and Jewellery,"Tamil Nadu, India",$1B to $10B,Active,2024,—,Luxury Goods,2,"Harish Kari, Nathan Puri",1001-5000,6,Seed,$1M to $5M,Growing,—,211570,425.45241708613537,5107.153543910855,0,2358
"Char, Contractor and Kade Technologies",Infrastructure,"Andhra Pradesh, India",$1M to $10M,Active,2018,Series C,Infrastructure,1,Anita Malhotra,1-10,7,M&A,$50M to $100M,High,Medium,1150675,1128.4169391929306,8918.107188980757,10,1028
Rajagopal Inc Technologies,E-Commerce,"Rajasthan, India",$1M to $10M,Active,2024,—,Commerce,4,"Nikita Vohra, Champak Bhattacharyya, Riya Dara, Lajita Ramanathan",1-10,5,—,$50M to $100M,Medium,Low,1599943,1613.7603498928588,3748.2537601044028,2,1954
Wason-Sane Labs,Ports,"Andhra Pradesh, India",$1B to $10B,Active,2020,—,Transportation,2,"Pahal Sangha, Laksh Chanda",101-250,6,—,$500K to $1M,High,Medium,1125719,1564.9268433127936,852.4334656740182,9,834
Yohannan Ltd Solutions,Auto Components,"Rajasthan, India",$10M to $50M,Active,2018,Series B,Automotive,1,Riya Hari,251-500,6,M&A,—,Growing,—,1306143,848.7042568861871,3837.832134666965,1,1412
Sampath-Natarajan Pvt Ltd,Ports,"Jharkhand, India",Less than $1M,Closed,2023,Series A,Transportation,2,"Elijah Dasgupta, Nandini Hora",1-10,2,Seed,$100K to $500K,High,Low,7841,-81.70530037085818,972.1158723005615,7,1095
Uppal LLC Technologies,Pharmaceuticals,"Jharkhand, India",$1B to $10B,Active,2020,Series C,Pharmaceuticals,2,"Nidra Ganesh, Veda Jaggi",501-1000,1,Seed,$500K to $1M,—,—,1921321,1580.1891961092495,160.06839703023257,9,813
Bora-Chacko Solutions,Ports,"Punjab, India",$10M to $50M,Active,2018,Series A,Transportation,5,"Laksh Vasa, Chakradhar Oza, Wridesh Pai, Omkaar Gala, Nidhi Radhakrishnan",11-50,3,Growing,$100M to $500M,—,High,504464,1771.1365128104696,2235.1088619945126,4,1840
Aggarwal-Dubey Solutions,Education and Training,"Telangana, India",$50M to $100M,Active,2024,Series A,Education,5,"Unnati Upadhyay, Dayamai Karpe, Oeshi Suresh, Irya Devan, Vedant Dayal",501-1000,4,Seed,$1M to $5M,—,—,520623,706.2310330700469,7866.26171314089,4,1225
Mukherjee Ltd Pvt Ltd,Automobiles,"Chhattisgarh, India",$10M to $50M,Active,2017,Series B,Automotive,3,"Aayush Batra, Chakradev Batta, Gabriel Chakraborty",1-10,4,Early Stage Venture,$10M to $50M,High,Medium,286064,354.7025525529545,2266.7222948444537,5,1645
"Pillay, Narang and Chanda Solutions",Infrastructure,"Uttar Pradesh, India",$1M to $10M,Active,2022,Series B,Infrastructure,1,Bhavika Brahmbhatt,51-100,4,Growing,$1M to $5M,Medium,Medium,855917,1524.9983048700433,1725.7815081065335,2,1113
"Borde, Viswanathan and Bajwa Pvt Ltd",Defence Manufacturing,"Tamil Nadu, India",$1M to $10M,Closed,2017,—,Defence,1,Naksh Bumb,1-10,0,—,$100K to $500K,Growing,Low,1473,-52.04482498154805,2365.06272719325,9,1288
Sura-Radhakrishnan Pvt Ltd,Electronics System Design & Manufacturing,"Himachal Pradesh, India",$50M to $100M,Active,2018,Seed,Electronics,4,"Nidra Hayer, Brijesh Krish, Dominic Bhat, Tara Bhatti",1001-5000,2,M&A,$100K to $500K,High,High,517424,1305.385873190398,7849.802776928638,1,1649
Din-Kaul Technologies,Power,"West Bengal, India",$100M to $500M,Active,2021,Seed,Energy,4,"Manthan Chokshi, Siddharth Saha, Chandran Issac, Qasim Yogi",1-10,3,—,—,Growing,Low,953698,1313.3962113034718,5507.942842301114,8,324
Agrawal Group Solutions,Ports,"Kerala, India",$1B to $10B,Active,2024,Series C,Transportation,5,"Sarthak Ramakrishnan, Shivansh Vala, Harrison Zacharia, Ekansh Bail, Amruta Sinha",101-250,2,Early Stage Venture,$50M to $100M,High,Low,533329,807.2027949247466,7213.562337513619,8,619
"Ghosh, Kapadia and Batta Technologies",E-Commerce,"Mizoram, India",$100M to $500M,Active,2024,Series A,Commerce,2,"Qadim Gandhi, Aarav Choudhry",101-250,5,Seed,$1M to $5M,—,Low,1069943,771.5215112067347,6184.116536459814,9,1593
"Pillai, Kari and Bail Pvt Ltd",Healthcare,"Bihar, India",Less than $1M,Closed,2023,Seed,Healthcare,1,Atharv Munshi,1-10,2,—,—,High,Low,5062,-20.89228262658966,3992.616336965036,0,657
Divan-Shetty Pvt Ltd,Agriculture and Allied Industries,"Sikkim, India",$10M to $50M,Closed,2022,Series A,Agriculture,0,—,11-50,2,—,—,High,Medium,43241,13.592591522956297,4951.496117205979,5,48
"Ram, Garde and Goel Technologies",FMCG,"Gujarat, India",Less than $1M,Closed,2018,Series A,Consumer Goods,1,Ojasvi Dixit,1-10,2,Early Stage Venture,—,Medium,Low,3474,-34.20147618385511,8160.0478686280185,2,414
"Palan, Mahal and Acharya Solutions",Services,"Sikkim, India",Less than $1M,Active,2020,—,Services,0,—,251-500,0,—,$500K to $1M,Medium,—,1477853,1076.254348522203,8460.43878163289,9,830
"Misra, Saxena and Dave Pvt Ltd",Science and Technology,"Odisha, India",$10M to $50M,Active,2022,Series B,Technology,4,"Maya Comar, Oviya Lad, Megha Kumer, Aarnav Sharaf",1001-5000,3,Early Stage Venture,$0,High,—,1982097,1777.0432665263004,5214.252893014686,5,451
Bawa-Kota Technologies,Cement,"Goa, India",$10M to $50M,Active,2017,—,Construction,1,Luke Manne,11-50,2,Growing,$0,Growing,High,445722,1806.9082516923447,2441.3670979253757,7,1045
Minhas LLC Innovations,Auto Components,"Jammu and Kashmir, India",Less than $1M,Active,2019,IPO,Automotive,3,"Nihal Choudhury, Alka Mukherjee, Harita Chakrabarti",51-100,2,Seed,$10M to $50M,Growing,Low,1785895,1205.788426784765,9797.558783904053,9,2015
Sharma PLC Labs,Renewable Energy,"Rajasthan, India",Less than $1M,Closed,2024,Series C,Energy,1,Zayyan Soman,11-50,3,M&A,—,—,Low,4284,-28.05564015800445,737.2183075798519,0,723
Sen-Bala Pvt Ltd,Banking,"Sikkim, India",Less than $1M,Closed,2017,—,Financial Services,3,"Yashasvi Ramakrishnan, Banjeet Sandhu, Charles Dugar",1-10,3,Early Stage Venture,$0,Medium,Low,8508,-16.385135482789323,3468.97048223462,10,2259
Krishna Ltd Solutions,Biotechnology,"Kerala, India",$1M to $10M,Closed,2019,—,Biotechnology,4,"Hamsini Pathak, Qadim Varkey, Ekta Ganesh, Pranit Srivastava",11-50,0,—,$500K to $1M,—,Low,6622,-42.10710726693205,1420.669894082344,7,1511
Gera-Uppal Pvt Ltd,Aviation,"Meghalaya, India",$10B+,Active,2020,Series B,Transportation,4,"Caleb Walia, Champak Yadav, Yatin Vyas, Arjun Bajwa",11-50,7,M&A,—,Medium,Low,720146,294.6017005339907,1630.7169015533798,10,1012
"Pillai, Tailor and Khare Innovations",Real Estate,"Chhattisgarh, India",Less than $1M,Closed,2024,—,Real Estate,1,Jairaj Gill,11-50,0,—,$100K to $500K,Medium,Low,7165,-50.18838876181897,9922.13021714692,5,133
"Bakshi, Prabhu and Bhattacharyya Pvt Ltd",Infrastructure,"Goa, India",$10M to $50M,Closed,2018,—,Infrastructure,0,—,51-100,0,—,$0,Growing,Low,43839,-50.819158769247096,9841.16305699282,1,934
"Morar, Saxena and Peri Technologies",Real Estate,"Odisha, India",$10M to $50M,Active,2020,IPO,Real Estate,2,"Daniel Gade, Chandani Sagar",1-10,4,M&A,$100M to $500M,High,—,1319931,1791.832006093142,182.0836782749878,6,1843
Soni-Divan Pvt Ltd,Healthcare,"Sikkim, India",$10M to $50M,Active,2018,Series C,Healthcare,3,"Ekalinga Krishnan, Praneel D’Alia, Shivani Gopal",51-100,3,—,$1M to $5M,—,High,727855,-81.59542683894495,3262.155038593305,3,1230
Chana PLC Pvt Ltd,Metals and Mining,"Sikkim, India",Less than $1M,Active,2022,Seed,Mining,3,"Nidhi Sani, Owen Yadav, Ekansh Rout",101-250,1,—,$100M to $500M,Medium,Low,703022,1314.5439322103027,6261.4186095169935,10,1047
Bhargava LLC Pvt Ltd,Textiles,"Andhra Pradesh, India",$1M to $10M,Closed,2022,—,Textiles,5,"Udarsh Patil, Abeer Yogi, Keya Char, Chavvi Kumer, Panini Gola",11-50,0,—,$100K to $500K,Growing,Low,5830,-45.6723198755545,1299.5454617932241,1,0
Madan Group Labs,Electronics System Design & Manufacturing,"Telangana, India",$100M to $500M,Active,2022,Seed,Electronics,3,"Jeevika Sastry, Prisha Ghosh, Aarush Mittal",101-250,6,Growing,$50M to $100M,—,—,1143355,1038.6326584494284,2887.8683430153965,1,1129
Shah-Kuruvilla Pvt Ltd,Infrastructure,"Tamil Nadu, India",Less than $1M,Active,2017,Series B,Infrastructure,3,"Yashodhara Bora, Isaac Bali, Ekani Mittal",51-100,5,M&A,$500K to $1M,—,—,1097953,898.3366374277709,6287.469845906446,10,1490
Oommen Ltd Labs,Pharmaceuticals,"West Bengal, India",$10B+,Active,2020,Series B,Pharmaceuticals,3,"Rachana Saran, Advaith Prabhu, Abhimanyu Barad",51-100,4,Growing,$10M to $50M,High,Medium,122203,1142.3375520559052,4755.122019503823,5,2326
Saha Ltd Innovations,FMCG,"Goa, India",$100M to $500M,Active,2018,—,Consumer Goods,2,"Benjamin Sura, Yoshita Parmer",501-1000,0,—,$100K to $500K,—,Medium,1225661,1858.049804581379,219.3339729456805,4,2274
"Kar, Kalla and Pathak Labs",Agriculture and Allied Industries,"Uttar Pradesh, India",$100M to $500M,Active,2022,Seed,Agriculture,1,Devika Shan,251-500,4,Early Stage Venture,$1M to $5M,Medium,Medium,1207409,393.8132465912731,2419.951966598047,5,772
Varghese LLC Innovations,Roads,"Sikkim, India",Less than $1M,Active,2021,Series B,Infrastructure,0,—,1-10,2,Growing,$5M to $10M,Medium,Medium,1221445,937.6086234001677,9766.347012931745,3,108
Devi-Chatterjee Innovations,Media and Entertainment,"Assam, India",$1M to $10M,Closed,2021,Series C,Media,3,"Edhitha Biswas, Tanveer More, Patrick Wadhwa",1-10,1,Growing,—,Growing,Low,1830,-71.29115742853266,3776.179070107559,3,1692
"Kumar, Som and Krishnamurthy Technologies",Metals and Mining,"Uttar Pradesh, India",$1B to $10B,Active,2020,Series B,Mining,4,"Peter Chhabra, Saksham Bail, Joshua Chatterjee, Sanya Nayar",1-10,3,—,$0,—,—,1661798,856.0668987204687,3250.1268883953717,10,549
"Patla, Mane and Johal Pvt Ltd",Food Processing,"Tripura, India",$50M to $100M,Active,2017,Series A,Food and Beverage,5,"Odika Ratta, Agastya Tailor, Tejas Bassi, Zaid Dhar, Aryan Krishnan",501-1000,6,—,$50M to $100M,High,High,1085078,1217.0989785555494,970.0861811484326,9,1448
"Suresh, Sharma and Bajwa Solutions",Textiles,"Rajasthan, India",$10M to $50M,Active,2022,—,Textiles,4,"Raagini Samra, Abhiram Karan, Reva Banerjee, Girik Buch",11-50,7,Early Stage Venture,$50M to $100M,High,Low,45450,488.9454983462633,8320.94391336577,9,1469
"Aurora, Borra and Kala Pvt Ltd",Paper & Packaging,"Arunachal Pradesh, India",$50M to $100M,Active,2024,IPO,Packaging,1,Yashica Trivedi,11-50,1,Growing,$5M to $10M,High,Low,1997109,417.5800697766804,6683.0255186372615,7,653
Gokhale Inc Labs,Healthcare,"Kerala, India",$10M to $50M,Active,2019,Series C,Healthcare,1,Lopa Khurana,1-10,3,—,$500K to $1M,Medium,—,952788,1587.392557637316,4021.0242663451463,9,1792
Taneja PLC Solutions,Manufacturing,"Jharkhand, India",$1B to $10B,Active,2020,IPO,Manufacturing,3,"Nachiket Koshy, Vasudha Loke, Victor Taneja",11-50,1,Growing,$500K to $1M,Medium,Medium,929044,1807.0195983443928,9350.967209940036,5,1214
